id_modelo,avg_reward,success_rate
model_parameter_1.pkl,-72.87,0.144
model_parameter_2.pkl,-74.014,0.148
model_parameter_3.pkl,-76.348,0.156
model_parameter_4.pkl,-73.79,0.162
model_parameter_5.pkl,-73.923,0.164
model_parameter_6.pkl,-70.668,0.162
model_parameter_7.pkl,-74.483,0.159
model_parameter_8.pkl,-68.041,0.172
model_parameter_9.pkl,-73.745,0.153
model_parameter_10.pkl,-69.681,0.15
model_parameter_11.pkl,-73.987,0.153
model_parameter_12.pkl,-71.196,0.165
model_parameter_13.pkl,-69.652,0.155
model_parameter_14.pkl,-72.068,0.148
model_parameter_15.pkl,-63.261,0.171
model_parameter_16.pkl,-78.57,0.138
model_parameter_17.pkl,-68.338,0.146
model_parameter_18.pkl,-73.252,0.13
model_parameter_19.pkl,-67.529,0.16
model_parameter_20.pkl,-74.149,0.152
